precinct,date,citation_issued
E,2013-09-11,5
E,2013-09-12,8
E,2013-09-13,13
E,2013-09-14,16
E,2013-09-15,5
E,2013-09-16,5
E,2013-09-17,17
E,2013-09-18,22
E,2013-09-19,8
E,2013-09-20,12
E,2013-09-21,7
E,2013-09-23,8
E,2013-09-24,3
E,2013-09-25,12
E,2013-09-26,11
E,2013-09-27,8
E,2013-09-28,10
E,2013-09-29,7
E,2013-09-30,8
E,2013-10-01,14
E,2013-10-02,8
E,2013-10-03,21
E,2013-10-04,5
E,2013-10-05,6
E,2013-10-06,2
E,2013-10-07,4
E,2013-10-08,13
E,2013-10-09,4
E,2013-10-10,5
E,2013-10-11,13
E,2013-10-12,6
E,2013-10-13,6
E,2013-10-14,4
E,2013-10-15,5
E,2013-10-16,6
E,2013-10-17,5
E,2013-10-18,7
E,2013-10-19,9
E,2013-10-20,6
E,2013-10-21,20
E,2013-10-22,5
E,2013-10-23,10
E,2013-10-24,17
E,2013-10-25,14
E,2013-10-26,11
E,2013-10-27,8
E,2013-10-28,3
E,2013-10-29,5
E,2013-10-30,9
E,2013-10-31,8
E,2013-11-01,13
E,2013-11-02,8
E,2013-11-03,7
E,2013-11-04,5
E,2013-11-05,5
E,2013-11-06,4
E,2013-11-07,11
E,2013-11-08,19
E,2013-11-09,6
E,2013-11-10,7
E,2013-11-11,13
E,2013-11-12,17
E,2013-11-13,8
E,2013-11-14,11
E,2013-11-15,11
E,2013-11-16,34
E,2013-11-17,18
E,2013-11-18,8
E,2013-11-19,13
E,2013-11-20,14
E,2013-11-21,8
E,2013-11-22,14
E,2013-11-23,10
E,2013-11-24,5
E,2013-11-25,9
E,2013-11-26,13
E,2013-11-27,10
E,2013-11-28,11
E,2013-11-29,3
E,2013-11-30,12
E,2013-12-01,6
E,2013-12-02,11
E,2013-12-03,7
E,2013-12-04,25
E,2013-12-05,16
E,2013-12-06,19
E,2013-12-07,17
E,2013-12-08,15
E,2013-12-09,1
E,2013-12-10,8
E,2013-12-11,18
E,2013-12-12,16
E,2013-12-13,20
E,2013-12-14,15
E,2013-12-15,14
E,2013-12-16,6
E,2013-12-17,18
E,2013-12-18,26
E,2013-12-19,14
E,2013-12-20,16
E,2013-12-21,12
E,2013-12-22,11
E,2013-12-23,8
E,2013-12-24,6
E,2013-12-25,3
E,2013-12-26,13
E,2013-12-27,18
E,2013-12-28,8
E,2013-12-29,10
E,2013-12-30,8
E,2013-12-31,18
E,2014-01-01,20
E,2014-01-02,15
E,2014-01-03,16
E,2014-01-04,10
E,2014-01-05,10
E,2014-01-06,7
E,2014-01-07,16
E,2014-01-08,19
E,2014-01-09,19
E,2014-01-10,8
E,2014-01-11,7
E,2014-01-12,3
E,2014-01-13,13
E,2014-01-14,15
E,2014-01-15,13
E,2014-01-16,18
E,2014-01-17,13
E,2014-01-18,5
E,2014-01-19,9
E,2014-01-20,10
E,2014-01-21,21
E,2014-01-22,15
E,2014-01-23,18
E,2014-01-24,14
E,2014-01-25,18
E,2014-01-26,7
E,2014-01-27,13
E,2014-01-28,15
E,2014-01-29,10
E,2014-01-30,24
E,2014-01-31,1
E,2014-02-01,6
E,2014-02-02,5
E,2014-02-03,6
E,2014-02-04,20
E,2014-02-05,5
E,2014-02-06,11
E,2014-02-07,9
E,2014-02-08,6
E,2014-02-09,2
E,2014-02-10,7
E,2014-02-11,12
E,2014-02-12,14
E,2014-02-13,19
E,2014-02-14,10
E,2014-02-15,6
E,2014-02-16,5
E,2014-02-17,8
E,2014-02-18,9
E,2014-02-19,6
E,2014-02-20,5
E,2014-02-21,15
E,2014-02-22,10
E,2014-02-23,5
E,2014-02-24,1
E,2014-02-25,14
E,2014-02-26,11
E,2014-02-27,6
E,2014-02-28,16
E,2014-03-01,11
E,2014-03-02,9
E,2014-03-03,3
E,2014-03-04,6
E,2014-03-05,6
E,2014-03-06,13
E,2014-03-07,13
E,2014-03-08,10
E,2014-03-09,4
E,2014-03-10,9
E,2014-03-11,14
E,2014-03-12,9
E,2014-03-13,13
E,2014-03-14,16
E,2014-03-15,4
E,2014-03-16,2
E,2014-03-17,6
E,2014-03-18,6
E,2014-03-19,4
E,2014-03-20,1
E,2014-03-21,6
E,2014-03-22,7
E,2014-03-23,5
E,2014-03-24,8
E,2014-03-25,7
E,2014-03-26,16
E,2014-03-27,12
E,2014-03-28,15
E,2014-03-29,15
E,2014-03-30,10
E,2014-03-31,7
E,2014-04-01,19
E,2014-04-02,8
E,2014-04-03,5
E,2014-04-04,22
E,2014-04-05,6
E,2014-04-06,7
E,2014-04-07,9
E,2014-04-08,7
E,2014-04-09,11
E,2014-04-10,7
E,2014-04-11,18
E,2014-04-12,7
E,2014-04-13,2
E,2014-04-14,2
E,2014-04-15,4
E,2014-04-16,7
E,2014-04-17,4
E,2014-04-18,15
E,2014-04-19,6
E,2014-04-20,10
E,2014-04-21,7
E,2014-04-22,9
E,2014-04-23,10
E,2014-04-24,2
E,2014-04-25,14
E,2014-04-26,5
E,2014-04-27,7
E,2014-04-28,4
E,2014-04-29,5
E,2014-04-30,14
